id,id
94,46144
94,55314
94,179571
94,266084
94,349363
94,361208
94,382400
94,457582
94,463729
94,511051
94,591933
94,739981
94,778507
94,909161
94,950713
94,973666
94,989375
94,1131820
94,1177007
94,1193910
94,1384162
117,988737
163,1270165
174,607272
184,1117188
286,46404
386,439818
391,2186
391,86397
391,181592
391,191186
391,199323
391,242133
391,264008
391,319288
391,393908
391,557610
391,614059
391,684246
391,731280
391,745742
391,790654
391,797187
391,962697
391,978266
391,1098374
391,1118183
391,1142215
391,1164259
391,1235963
391,1255153
391,1265836
391,1290422
399,113815
399,336756
399,406435
543,157953
553,188891
562,206268
575,804285
606,843862
664,16886
664,242630
664,319759
664,442631
664,578742
664,688948
664,1259558
664,1308689
664,1358924
668,614845
670,1291934
689,992547
689,1335940
689,1383583
699,412893
732,50407
732,57916
732,79206
732,110944
732,156731
732,168107
732,176051
732,187326
732,200697
732,209704
732,216606
732,236740
732,251729
732,255619
732,329128
732,332728
732,339841
732,392552
732,435495
732,439475
732,443363
732,496492
732,570181
732,591118
732,616792
732,632625
732,632877
732,661831
732,689859
732,712397
732,742040
732,745968
732,748038
732,817375
732,835098
732,837059
732,861319
732,899968
732,929499
732,934406
732,965857
732,972620
732,979550
732,987033
732,1023102
732,1026831
732,1037141
732,1038885
732,1067212
732,1074332
732,1082670
732,1113247
732,1156579
732,1195450
732,1204426
732,1233407
732,1249800
732,1258490
732,1281362
732,1298733
732,1305537
732,1364230
732,1383970
732,1393721
732,1408733
732,1437329
732,1447381
732,1457534
732,1459666
732,1469279
732,1470812
732,1471863
732,1481108
737,264787
737,306636
737,343504
737,365724
737,580821
737,703704
737,804164
737,1136241
737,1441754
794,449936
834,416692
834,674978
834,702180
834,1424639
869,837790
907,935584
953,27335
953,42779
953,51486
953,69037
953,83398
953,128910
953,152318
953,172466
953,177013
953,180265
953,193173
953,218070
953,225757
953,250161
953,265258
953,323998
953,353097
953,383410
953,410730
953,421370
953,442203
953,451236
953,458055
953,465379
953,474254
953,492640
953,563887
953,587876
953,592130
953,597450
953,599809
953,602507
953,611780
953,622126
953,625480
953,627063
953,640061
953,655263
953,674278
953,680020
953,692124
953,695299
953,696991
953,721402
953,732493
953,796892
953,814614
953,814779
953,843015
953,852742
953,857794
953,863789
953,890196
953,900152
953,917118
953,927264
953,940939
953,983054
953,992929
953,1017366
953,1028964
953,1034988
953,1037416
953,1048565
953,1061373
953,1066862
953,1079668
953,1098239
953,1101883
953,1131795
953,1141165
953,1147307
953,1149283
953,1152817
953,1174412
953,1197839
953,1207981
953,1211681
953,1228142
953,1239756
953,1272573
953,1282460
953,1287494
953,1309365
953,1315598
953,1317736
953,1327802
953,1351255
953,1390017
953,1394914
953,1396436
953,1416932
953,1423410
953,1425394
953,1432891
953,1437472
953,1445070
953,1457221
953,1458244
953,1464730
953,1466680
953,1471580
953,1487386
1025,262411
1025,1116305
1025,1426023
1025,1472148
1026,865764
1037,967262
1067,94086
1085,657590
1092,290748
1099,396820
1118,644946
1145,7787
1145,15420
1145,54683
1145,68952
1145,73479
1145,85028
1145,89130
1145,104692
1145,115698
1145,131247
1145,131920
1145,165098
1145,178424
1145,182520
1145,216043
1145,261378
1145,262761
1145,272963
1145,273940
1145,310820
1145,331779
1145,341308
1145,356579
1145,428630
1145,435824
1145,443050
1145,446879
1145,456108
1145,473127
1145,474657
1145,482904
1145,489032
1145,497281
1145,508881
1145,548639
1145,557032
1145,619372
1145,656302
1145,659046
1145,699203
1145,733136
1145,751000
1145,755906
1145,820252
1145,826880
1145,887742
1145,890951
1145,895458
1145,898414
1145,922528
1145,948790
1145,958632
1145,1004304
1145,1042523
1145,1125121
1145,1128239
1145,1155724
1145,1190660
1145,1203508
1145,1243410
1145,1244687
1145,1261745
1145,1267954
1145,1319616
1145,1342491
1145,1389319
1145,1398149
1145,1400627
1145,1432739
1145,1450586
1145,1455212
1147,183096
1181,244954
1187,80030
1187,306188
1209,1096654
1287,151997
1290,99756
1290,219913
1290,364165
1290,465191
1290,500264
1290,615938
1290,924845
1290,1128898
1350,24523
1366,1324461
1420,347332
1508,1004441
1530,17573
1530,1264507
1530,1316448
1651,396651
1652,499732
1664,593691
1664,699794
1664,765058
1664,1066980
1664,1141337
1664,1286293
1664,1493917
1675,196914
1675,216809
1761,1366543
1792,6954
1792,41323
1792,310424
1792,427327
1792,444739
1792,556751
1792,655003
1792,657179
1792,753015
1792,869204
1792,1019154
1792,1056767
1792,1180307
1792,1244115
1792,1258515
1792,1305714
1803,846455
1803,957550
1807,486319
1822,1220466
1863,177331
1886,26488
1886,40138
1886,99713
1886,104362
1886,151159
1886,208089
1886,245841
1886,307532
1886,349133
1886,357354
1886,465272
1886,540498
1886,575108
1886,604841
1886,647915
1886,691924
1886,753114
1886,777204
1886,880787
1886,976108
1886,1021994
1886,1096185
1886,1135517
1886,1143678
1886,1176101
1886,1210393
1886,1313267
1886,1399543
1886,1439300
1892,15967
1892,900095
1892,1094324
1910,909244
1911,184994
2002,198560
2002,374233
2002,478361
2002,487426
2002,837946
2002,981748
2002,1059702
2002,1349751
2002,1492802
2067,1230584
2155,340555
2155,886103
2156,71574
2171,1095054
2186,86397
2186,181592
2186,191186
2186,199323
2186,242133
2186,264008
2186,319288
2186,393908
2186,557610
2186,614059
2186,684246
2186,731280
2186,745742
2186,790654
2186,797187
2186,962697
2186,978266
2186,1098374
2186,1118183
2186,1142215
2186,1164259
2186,1235963
2186,1255153
2186,1265836
2186,1290422
2205,314589
2238,644869
2287,67368
2287,94298
2287,269226
2287,347827
2287,473417
2287,1385286
2293,1404981
2318,189122
2331,1128466
2390,865483
2390,875889
2390,1400698
2400,1153116
2403,301178
2403,729806
2403,908896
2403,977342
2403,1088327
2403,1237128
2406,753691
2438,1220052
2459,386677
2467,1252554
2484,1070015
2518,408265
2584,14861
2614,230542
2614,296844
2614,321747
2614,342162
2614,354046
2614,446705
2614,590514
2614,662199
2614,806846
2614,879724
2614,1048640
2614,1214545
2614,1261437
2614,1284495
2614,1331780
2614,1482981
2626,439849
2663,1147052
2748,112486
2748,715702
2748,905104
2748,1428756
2748,1431457
2763,593770
2766,1111129
2799,240647
2852,232234
2909,557718
2909,564754
2909,1268289
3006,463479
3032,55807
3032,79735
3032,87166
3032,94110
3032,102480
3032,116005
3032,120365
3032,167711
3032,181285
3032,192668
3032,216127
3032,258686
3032,270413
3032,283828
3032,469679
3032,474089
3032,519903
3032,539704
3032,587948
3032,601751
3032,608739
3032,644179
3032,701429
3032,701878
3032,735552
3032,743005
3032,752783
3032,777000
3032,782511
3032,804645
3032,807590
3032,866764
3032,873833
3032,900821
3032,947856
3032,950321
3032,961320
3032,969337
3032,975429
3032,1072569
3032,1098865
3032,1118783
3032,1118928
3032,1120977
3032,1159375
3032,1172590
3032,1172731
3032,1173384
3032,1177236
3032,1184429
3032,1233169
3032,1260559
3032,1286376
3032,1289019
3032,1289328
3032,1303936
3032,1310865
3032,1374366
3032,1379006
3032,1406118
3032,1459446
3032,1473406
3042,1389623
3042,1476806
3124,115902
3161,1039484
3187,987149
3253,474701
3345,710109
3348,216234
3348,1492851
3351,1302386
3359,473369
3401,164383
3410,794289
3493,990979
3493,1093605
3493,1292083
3567,955744
3585,136070
3585,335349
3585,971220
3585,1141963
3585,1409431
3619,1162984
3668,41900
3696,830381
3701,484124
3701,1455574
3727,819160
3735,93335
3735,126272
3735,235595
3735,246055
3735,253062
3735,377567
3735,425517
3735,431915
3735,522930
3735,584243
3735,648896
3735,661760
3735,668765
3735,700904
3735,707045
3735,751359
3735,795320
3735,1003595
3735,1056748
3735,1105946
3735,1107602
3735,1147070
3735,1195475
3735,1288006
3735,1297688
3735,1324110
3735,1436080
3735,1449961
3735,1457225
3778,129287
3835,68348
3835,431745
3859,6073
3859,51154
3859,395534
3859,456517
3859,514931
3859,529613
3859,592802
3859,595997
3859,651954
3859,679355
3859,687240
